Species	Comparison	D.obs	eq.P	eq.mean.sim	eq.se.sim	si12.P	si12.mean.sim	si12.se.sim	si21.P	si21.mean.sim	si21.se.sim	an_breadth	Br_breadth	Wi_breadth	Niche_expansion	Niche_stability	Niche_unfilling	migration	clade
Myiotheretes_fumigatus	real	0.498810781	0.9505	0.535152629	NA	0.5	0.220713564	NA	0.5	0.121960815	NA	14.14575829	7.313613046	6.832145242	0.014041599	0.985958401	0.254294413	res	Xolmiini
Myiotheretes_fuscorufus	real	0.454700009	0.44554	0.585665903	NA	1	0.659782904	NA	0.5	0.317050827	NA	13.90104576	6.830698379	7.070347381	0.459277379	0.540722621	0.341424523	res	Xolmiini
Myiotheretes_striaticollis	real	0.607407833	0.0396	0.445950532	NA	0.5	0.139863298	NA	0.5	0.338041116	NA	15.79928625	7.817337188	7.981949065	0.180544822	0.819455178	0.057151658	res	Xolmiini
Neoxolmis_rufiventris	real	0	1	0.188082579	NA	1	0.376048759	NA	1	0.000130673	NA	12.72946046	6.18599192	6.543468542	1	0	1	mig	Xolmiini
Neoxolmis_rufiventris	hypo_br	0	1	0.170847582	NA	1	0	NA	1	0	NA	NA	NA	NA	1	0	1	mig	Xolmiini
Neoxolmis_rufiventris	hypo_wi	0	1	0.158087473	NA	1	0	NA	1	0	NA	NA	NA	NA	1	0	1	mig	Xolmiini
Polioxolmis_rufipennis	real	0.182496978	1	0.445506943	NA	0.5	0	NA	0.5	5.52E-05	NA	14.10516648	6.967258492	7.137907986	0.541320114	0.458679886	0.3725855	res	Xolmiini
Satrapa_icterophrys	real	0.537174727	0.0099	0.375363187	NA	0.5	0.123498363	NA	0.5	0.432938106	NA	14.40423017	7.162266398	7.241963768	0.155197996	0.844802004	0.052662521	mig	Xolmiini
Satrapa_icterophrys	hypo_br	0.512527414	0.0099	0.351152701	NA	1	0.56644283	NA	0.5	0.009275823	NA	NA	NA	NA	0.146411109	0.853588891	0.081715534	mig	Xolmiini
Satrapa_icterophrys	hypo_wi	0.573945602	0.0099	0.323492977	NA	0.5	0.155515099	NA	0.5	0.268967258	NA	NA	NA	NA	0.148638076	0.851361924	0.067066382	mig	Xolmiini
Xolmis_cinereus	real	0.398354937	0.88119	0.269549011	NA	0.5	0.22175817	NA	0.5	0.025822637	NA	14.28061819	7.045030338	7.235587851	0.294429908	0.705570092	0.106659299	res	Xolmiini
Xolmis_coronatus	real	0.091468905	0.57426	0.402409416	NA	0.5	0.000324072	NA	0.5	0.036627126	NA	14.20481521	7.153481948	7.05133326	0.956860232	0.043139768	0.642452502	mig	Xolmiini
Xolmis_coronatus	hypo_br	0.392618094	0.5	0.377365952	NA	1	0.407607417	NA	0.5	0.049958968	NA	NA	NA	NA	0.184568313	0.815431687	0.409699199	mig	Xolmiini
Xolmis_coronatus	hypo_wi	0.3284781	1	0.402663354	NA	0.5	0.00869409	NA	0.5	0.01843881	NA	NA	NA	NA	0.538696881	0.461303119	0.398966705	mig	Xolmiini
Xolmis_irupero	real	0.522001455	0.0099	0.371726238	NA	0.5	0	NA	1	0.699719511	NA	14.78142296	7.477759319	7.30366364	0.104003545	0.895996455	0.235304634	res	Xolmiini
Xolmis_pyrope	real	0.139034129	0.0099	0.234314304	NA	1	0.463407506	NA	0.5	0.000719279	NA	15.135338	7.413537444	7.72180056	0.659094043	0.340905957	0.288620913	mig	Xolmiini
Xolmis_pyrope	hypo_br	0.131509314	0.0099	0.224806191	NA	0.5	0.050099062	NA	0.5	0.062491778	NA	NA	NA	NA	0.679943174	0.320056826	0.417115963	mig	Xolmiini
Xolmis_pyrope	hypo_wi	0.078921179	0.0099	0.212747766	NA	0.5	0.035428624	NA	0.5	0.000790499	NA	NA	NA	NA	0.771396643	0.228603357	0.558721296	mig	Xolmiini
Xolmis_rubetra	real	0.069960338	0.44554	0.291319405	NA	0.5	0.000232967	NA	1	0.435213215	NA	14.42986543	6.893515828	7.536349597	0.906649383	0.093350617	0.806124623	mig	Xolmiini
Xolmis_rubetra	hypo_br	0.09632471	0.0099	0.297351254	NA	0.5	0.000602027	NA	1	0.117764465	NA	NA	NA	NA	0.770633313	0.229366687	0.796994488	mig	Xolmiini
Xolmis_rubetra	hypo_wi	0.029863834	0.0297	0.235618137	NA	1	0.205730522	NA	0.5	0	NA	NA	NA	NA	0.929765327	0.070234673	0.937362868	mig	Xolmiini
